Number,Gender,GivenName,Surname,TelephoneNumber,Birthday,Zodiac,Membership,BloodType,Pounds,Weight,Height,BMI
1,male,Lee,Tsou,082 777 1954,08-11-1991,Leo,01-07-2016,O+,158,71.8,185,20.9788
2,female,Ambretta,Siciliano,085 341 9384,05-06-1967,Taurus,01-09-2018,A+,119.2,54.2,173,18.1095
3,male,Nicephorus,Baryshnikov,085 520 8838,8-27-1951,Virgo,01-03-2016,B+,185.2,84.2,169,29.4808
4,male,Yawara,Kawashima,084 978 7341,08-01-1976,Leo,01-01-2018,A+,162.1,73.7,179,23.0018
5,male,Logan,Rowe,085 368 1284,1-22-1953,Aquarius,01-10-2019,O+,229,104.1,185,30.4164
6,male,Afamefula,Chinonyelum,085 904 4041,8-21-1964,Leo,01-09-2020,O+,149.8,68.1,185,19.8977
7,male,Xavier,Boyes,083 437 8063,02-01-1960,Aquarius,01-08-2016,A+,247.5,112.5,167,40.3385
8,male,Joel,Carpenter,083 487 0303,04-04-1970,Aries,01-08-2017,AB+,240,109.1,180,33.6728
9,male,Spencer,Galvin,082 210 3144,08-10-1969,Leo,01-05-2019,O-,237.2,107.8,188,30.5002
10,male,Thomas,Evseyev,084 693 2501,9-13-1987,Virgo,01-09-2016,O+,150.5,68.4,190,18.9474
11,male,Zikoranachukwudimma,Chikelu,083 735 6017,11-21-1987,Scorpio,01-11-2016,B+,141.7,64.4,182,19.4421
12,female,Albina,Yegorova,085 917 2004,9-13-1993,Virgo,01-09-2018,A+,184.1,83.7,175,27.3306
13,female,Sadayo,Nishikawa,082 954 7576,6-21-1952,Cancer,01-10-2020,A+,186.1,84.6,155,35.2133
14,male,Paul,Nishikawa,083 878 6870,05-08-1989,Taurus,01-04-2019,O+,136.4,62,168,21.9671
15,male,Patrick,Horton,083 522 5811,11-23-1988,Sagittarius,01-08-2020,B+,157.7,71.7,184,21.1779
16,male,Amechi,Odinakachukwu,085 540 6197,11-03-1967,Scorpio,01-04-2018,A+,174.9,79.5,167,28.5059
17,female,Kao,Tou,085 357 4967,03-06-1956,Pisces,01-04-2020,B+,209.7,95.3,153,40.7108
18,female,Tilly,Kerr,085 615 2787,9-28-1958,Libra,01-12-2018,O+,194.3,88.3,152,38.2185
19,male,Morgan,Morrison,082 341 9827,7-26-1985,Leo,01-06-2016,O+,188.1,85.5,182,25.8121
20,male,On,Fan,083 780 0483,2-27-1991,Pisces,01-04-2017,B+,211.9,96.3,174,31.8074
21,female,Esther,Cherkasova,083 504 6406,11-30-1957,Sagittarius,01-05-2020,B+,125.8,57.2,156,23.5043
22,male,Aaron,Frame,085 799 6767,7-21-1970,Cancer,01-09-2016,A+,198.9,90.4,177,28.8551
23,female,Pamela,Doolittle,084 260 5607,05-09-1972,Taurus,01-02-2020,O+,193.4,87.9,165,32.2865
24,male,Vito,Colombo,084 343 7549,8-19-1984,Leo,01-05-2017,AB+,163.5,74.3,176,23.9863
25,male,Ahmed,Andreyev,084 546 5054,4-26-1965,Taurus,01-07-2018,O+,240.5,109.3,170,37.8201
26,female,Daria,Bykova,085 719 8762,11-06-1952,Scorpio,01-03-2019,A+,180.2,81.9,163,30.8254
27,female,Meghan,Watson,082 922 7505,04-10-1978,Aries,01-02-2016,A+,113.1,51.4,155,21.3944
28,male,Cupido,Lori,084 224 1427,8-15-1985,Leo,01-08-2020,A+,164.1,74.6,171,25.5121
29,,,,085 364 7223,7-27-1961,Leo,01-08-2020,O-,115.1,52.3,172,17.6785
30,female,,,083 465 3763,01-05-1965,Capricorn,01-12-2019,B+,231.7,105.3,162,40.1235
31,female,,,085 226 7388,7-13-1959,Cancer,01-10-2019,O-,160.4,72.9,158,29.2021
32,female,,,083 773 9722,3-13-1981,Pisces,01-11-2020,A+,208.8,94.9,171,32.4544
33,male,Aziz,Russom,083 445 3876,9-14-1956,Virgo,01-07-2019,B+,149.4,67.9,169,23.7737
34,female,Wan,H?,082 792 2488,02-05-1992,Aquarius,01-08-2019,O+,181.1,82.3,155,34.256
35,female,Julia,Lopez,084 818 4828,03-02-1982,Pisces,01-09-2016,B+,125.2,56.9,166,20.6489
36,male,Innocenzo,Moretti,082 233 2725,08-10-1955,Leo,01-04-2017,A+,244.9,111.3,183,33.2348
37,male,Jie,Su,084 278 7569,2-19-1979,Pisces,01-11-2019,A+,155.8,70.8,188,20.0317
38,male,Lian,T'ang,084 324 0060,1-13-1954,Capricorn,01-08-2017,O+,181.7,82.6,167,29.6174
39,male,Sam,O'Brien,084 836 4094,04-06-1971,Aries,01-12-2020,AB+,147.4,67,176,21.6296
40,male,Haylom,Tesfay,082 701 9407,1-17-1952,Capricorn,01-03-2019,A+,172.9,78.6,183,23.4704
41,female,Odinakachi,Chialuka,084 182 4902,11-21-1961,Scorpio,01-04-2018,B+,212.1,96.4,155,40.1249
42,male,Secondo,Lombardo,083 879 5087,10-21-1970,Libra,01-02-2016,A+,192.5,87.5,167,31.3744
43,male,Ruben,Izmaylov,084 241 9524,9-21-1949,Virgo,01-01-2017,O+,240.7,109.4,182,33.0274
44,female,Mayuko,Mukai,082 429 7823,12-28-1955,Capricorn,01-06-2017,B+,214.9,97.7,170,33.8062
